metric,metric_clean,category,split,Model,N,Mean,Std,Median,Rank,Omnibus_Test,Omnibus_Stat,Omnibus_p
Parody/Satire_score,Parody/Satire,Exceptions,Forget,NPO (Dutch),20,0.13999999999999999,0.2233712981609438,0.0,1.0,Kruskal,3.7213890791041564,0.2931632608693704
Parody/Satire_score,Parody/Satire,Exceptions,Forget,NPO (English),20,0.10500000000000001,0.19324105480761042,0.0,2.0,Kruskal,3.7213890791041564,0.2931632608693704
Parody/Satire_score,Parody/Satire,Exceptions,Retain,Finetuned (Dutch),20,0.025,0.11180339887498948,0.0,3.0,Kruskal,7.831365885564786,0.049628510490985094
Parody/Satire_score,Parody/Satire,Exceptions,Retain,Finetuned (English),20,0.015,0.0670820393249937,0.0,4.0,Kruskal,7.831365885564786,0.049628510490985094
Parody/Satire_score,Parody/Satire,Exceptions,Retain,NPO (Dutch),20,0.13,0.2657660229362821,0.0,2.0,Kruskal,7.831365885564786,0.049628510490985094
Parody/Satire_score,Parody/Satire,Exceptions,Retain,NPO (English),20,0.205,0.3691740425384896,0.0,1.0,Kruskal,7.831365885564786,0.049628510490985094
Pastiche_score,Pastiche,Exceptions,Forget,Finetuned (Dutch),20,0.24500000000000002,0.3677456214630749,0.0,2.0,Kruskal,6.999879915234261,0.07190160010478444
Pastiche_score,Pastiche,Exceptions,Forget,Finetuned (English),20,0.09,0.24899799195977465,0.0,4.0,Kruskal,6.999879915234261,0.07190160010478444
Pastiche_score,Pastiche,Exceptions,Forget,NPO (Dutch),20,0.25,0.22360679774997896,0.3,1.0,Kruskal,6.999879915234261,0.07190160010478444
Pastiche_score,Pastiche,Exceptions,Forget,NPO (English),20,0.155,0.22354794611117837,0.0,3.0,Kruskal,6.999879915234261,0.07190160010478444
Pastiche_score,Pastiche,Exceptions,Retain,Finetuned (Dutch),20,0.19,0.2918182563460383,0.0,3.0,Kruskal,13.011385869565212,0.004612047427948959
Pastiche_score,Pastiche,Exceptions,Retain,Finetuned (English),20,0.08,0.17044832524535805,0.0,4.0,Kruskal,13.011385869565212,0.004612047427948959
Pastiche_score,Pastiche,Exceptions,Retain,NPO (Dutch),20,0.41500000000000004,0.4380278770268299,0.4,2.0,Kruskal,13.011385869565212,0.004612047427948959
Pastiche_score,Pastiche,Exceptions,Retain,NPO (English),20,0.515,0.46370930095208746,0.5,1.0,Kruskal,13.011385869565212,0.004612047427948959
Plot Structure Similarity_score,Plot Structure Similarity,Content,Forget,Finetuned (Dutch),20,0.9400000000000001,0.2257152374587339,1.0,2.0,Kruskal,64.07390042616525,7.914727864026417e-14
Plot Structure Similarity_score,Plot Structure Similarity,Content,Forget,Finetuned (English),20,0.99,0.044721359549995815,1.0,1.0,Kruskal,64.07390042616525,7.914727864026417e-14
Plot Structure Similarity_score,Plot Structure Similarity,Content,Forget,NPO (Dutch),20,0.145,0.2114486375359025,0.0,4.0,Kruskal,64.07390042616525,7.914727864026417e-14
Plot Structure Similarity_score,Plot Structure Similarity,Content,Forget,NPO (English),20,0.225,0.25520889276702025,0.0,3.0,Kruskal,64.07390042616525,7.914727864026417e-14
Plot Structure Similarity_score,Plot Structure Similarity,Content,Retain,Finetuned (Dutch),20,0.96,0.08207826816681231,1.0,2.0,Kruskal,12.448417732609057,0.005994792997561685
Plot Structure Similarity_score,Plot Structure Similarity,Content,Retain,Finetuned (English),20,0.9800000000000001,0.06155870112510924,1.0,1.0,Kruskal,12.448417732609057,0.005994792997561685
Plot Structure Similarity_score,Plot Structure Similarity,Content,Retain,NPO (Dutch),20,0.79,0.3127130852462214,0.9,3.5,Kruskal,12.448417732609057,0.005994792997561685
Plot Structure Similarity_score,Plot Structure Similarity,Content,Retain,NPO (English),20,0.79,0.24687520819444916,1.0,3.5,Kruskal,12.448417732609057,0.005994792997561685
Quotation/Citation_score,Quotation/Citation,Exceptions,Forget,Finetuned (Dutch),20,0.495,0.22589005243585583,0.5,1.0,Kruskal,36.91871241224009,4.787246875695518e-08
Quotation/Citation_score,Quotation/Citation,Exceptions,Forget,Finetuned (English),20,0.335,0.1725200217213551,0.3,2.0,Kruskal,36.91871241224009,4.787246875695518e-08
Quotation/Citation_score,Quotation/Citation,Exceptions,Forget,NPO (Dutch),20,0.08,0.17044832524535805,0.0,4.0,Kruskal,36.91871241224009,4.787246875695518e-08
Quotation/Citation_score,Quotation/Citation,Exceptions,Forget,NPO (English),20,0.09,0.18890264827766653,0.0,3.0,Kruskal,36.91871241224009,4.787246875695518e-08
Quotation/Citation_score,Quotation/Citation,Exceptions,Retain,Finetuned (Dutch),20,0.37,0.2792848008753788,0.3,3.0,Kruskal,2.2631549194610328,0.5196161702129465
Quotation/Citation_score,Quotation/Citation,Exceptions,Retain,Finetuned (English),20,0.48,0.2587418953726911,0.5,1.0,Kruskal,2.2631549194610328,0.5196161702129465
Quotation/Citation_score,Quotation/Citation,Exceptions,Retain,NPO (Dutch),20,0.35,0.1986798535597566,0.5,4.0,Kruskal,2.2631549194610328,0.5196161702129465
Quotation/Citation_score,Quotation/Citation,Exceptions,Retain,NPO (English),20,0.39,0.2613728935327537,0.5,2.0,Kruskal,2.2631549194610328,0.5196161702129465
ROUGE_score,ROUGE,Computational,Forget,Finetuned (Dutch),20,0.9663999999999999,0.15026376808798583,1.0,2.0,Kruskal,66.44126193001055,2.4661372655823866e-14
ROUGE_score,ROUGE,Computational,Forget,Finetuned (English),20,1.0,0.0,1.0,1.0,Kruskal,66.44126193001055,2.4661372655823866e-14
ROUGE_score,ROUGE,Computational,Forget,NPO (Dutch),20,0.18224627290093462,0.07948552468357022,0.18872549019607843,4.0,Kruskal,66.44126193001055,2.4661372655823866e-14
ROUGE_score,ROUGE,Computational,Forget,NPO (English),20,0.22879503563572104,0.1250692861857041,0.24440298507462682,3.0,Kruskal,66.44126193001055,2.4661372655823866e-14
ROUGE_score,ROUGE,Computational,Retain,Finetuned (Dutch),20,1.0,0.0,1.0,1.5,Kruskal,24.017330526315828,2.477272910407908e-05
ROUGE_score,ROUGE,Computational,Retain,Finetuned (English),20,1.0,0.0,1.0,1.5,Kruskal,24.017330526315828,2.477272910407908e-05
ROUGE_score,ROUGE,Computational,Retain,NPO (Dutch),20,0.8789183955203687,0.1925227532722933,0.9931972789115646,3.0,Kruskal,24.017330526315828,2.477272910407908e-05
ROUGE_score,ROUGE,Computational,Retain,NPO (English),20,0.807038125737176,0.2649374353052339,1.0,4.0,Kruskal,24.017330526315828,2.477272910407908e-05
Scene Sequence Similarity_score,Scene Sequence Similarity,Content,Forget,Finetuned (Dutch),20,0.9400000000000001,0.15694450913417904,1.0,2.0,Kruskal,64.71270082101807,5.778464406236385e-14
Scene Sequence Similarity_score,Scene Sequence Similarity,Content,Forget,Finetuned (English),20,0.9800000000000001,0.06155870112510925,1.0,1.0,Kruskal,64.71270082101807,5.778464406236385e-14
Scene Sequence Similarity_score,Scene Sequence Similarity,Content,Forget,NPO (Dutch),20,0.16999999999999998,0.22266330494363243,0.0,4.0,Kruskal,64.71270082101807,5.778464406236385e-14
Scene Sequence Similarity_score,Scene Sequence Similarity,Content,Forget,NPO (English),20,0.23500000000000001,0.23004576203785834,0.3,3.0,Kruskal,64.71270082101807,5.778464406236385e-14
Scene Sequence Similarity_score,Scene Sequence Similarity,Content,Retain,Finetuned (Dutch),20,0.9550000000000001,0.16050905860647502,1.0,2.0,Kruskal,17.45908318400978,0.0005685671905900311
Scene Sequence Similarity_score,Scene Sequence Similarity,Content,Retain,Finetuned (English),20,0.99,0.0447213595499958,1.0,1.0,Kruskal,17.45908318400978,0.0005685671905900311
Scene Sequence Similarity_score,Scene Sequence Similarity,Content,Retain,NPO (Dutch),20,0.76,0.3250910803548996,0.9,4.0,Kruskal,17.45908318400978,0.0005685671905900311
Scene Sequence Similarity_score,Scene Sequence Similarity,Content,Retain,NPO (English),20,0.8099999999999999,0.2221900561515559,0.9,3.0,Kruskal,17.45908318400978,0.0005685671905900311
Scènes à Faire_score,Scènes à Faire,Exceptions,Forget,Finetuned (Dutch),20,0.53,0.3812721089361659,0.55,3.0,Kruskal,2.5395905688045266,0.4681786503364457
Scènes à Faire_score,Scènes à Faire,Exceptions,Forget,Finetuned (English),20,0.505,0.3648720035126955,0.4,4.0,Kruskal,2.5395905688045266,0.4681786503364457
