metric,metric_clean,category,split,Model,N,Mean,Std,Median,Rank,Omnibus_Test,Omnibus_Stat,Omnibus_p
BLEU_score,BLEU,Computational,Forget,Baseline (Dutch),21,0.019332728655326353,0.03461068989015187,0.0006835909744321516,4.0,Kruskal,71.98756635372042,1.6016932460821624e-15
BLEU_score,BLEU,Computational,Forget,Baseline (English),21,0.07545588551892313,0.062205757447899156,0.06388888888888888,3.0,Kruskal,71.98756635372042,1.6016932460821624e-15
BLEU_score,BLEU,Computational,Forget,Finetuned (Dutch),20,0.9619289340101522,0.1702589830583596,1.0,2.0,Kruskal,71.98756635372042,1.6016932460821624e-15
BLEU_score,BLEU,Computational,Forget,Finetuned (English),20,1.0,0.0,1.0,1.0,Kruskal,71.98756635372042,1.6016932460821624e-15
BLEU_score,BLEU,Computational,Retain,Baseline (Dutch),21,0.03555361874104844,0.026713999218866805,0.03769401330376941,4.0,Kruskal,71.45081585163584,2.087140162779543e-15
BLEU_score,BLEU,Computational,Retain,Baseline (English),21,0.09250307010555814,0.07136018291006521,0.08469945355191257,3.0,Kruskal,71.45081585163584,2.087140162779543e-15
BLEU_score,BLEU,Computational,Retain,Finetuned (Dutch),20,1.0,0.0,1.0,1.5,Kruskal,71.45081585163584,2.087140162779543e-15
BLEU_score,BLEU,Computational,Retain,Finetuned (English),20,1.0,0.0,1.0,1.5,Kruskal,71.45081585163584,2.087140162779543e-15
Character Similarity_score,Character Similarity,Content,Forget,Baseline (Dutch),21,0.014285714285714285,0.06546536707079771,0.0,4.0,Kruskal,71.29969910262402,2.248634265449895e-15
Character Similarity_score,Character Similarity,Content,Forget,Baseline (English),21,0.32857142857142857,0.22392600818765368,0.5,3.0,Kruskal,71.29969910262402,2.248634265449895e-15
Character Similarity_score,Character Similarity,Content,Forget,Finetuned (Dutch),20,0.9650000000000001,0.11821033884786185,1.0,1.0,Kruskal,71.29969910262402,2.248634265449895e-15
Character Similarity_score,Character Similarity,Content,Forget,Finetuned (English),20,0.95,0.15389675281277315,1.0,2.0,Kruskal,71.29969910262402,2.248634265449895e-15
Character Similarity_score,Character Similarity,Content,Retain,Baseline (Dutch),21,0.3047619047619048,0.2889224644713361,0.5,4.0,Kruskal,59.87894074080527,6.23892394891409e-13
