model,category,split,N,Mean,Std,Median
Baseline (Dutch),Computational,Forget,9,0.04074888151375718,0.019259020756870218,0.04255994182934306
Baseline (Dutch),Computational,Retain,14,0.029315107484115244,0.018555432842313833,0.027759745253960955
Baseline (Dutch),Content,Forget,9,0.036111111111111115,0.06627489050244528,0.0
Baseline (Dutch),Content,Retain,14,0.253125,0.20897457404228356,0.3
Baseline (Dutch),Exceptions,Forget,9,0.12916666666666668,0.03004626062886659,0.125
Baseline (Dutch),Exceptions,Retain,14,0.18348214285714287,0.06102131281881658,0.2
Baseline (Dutch),Stylistic,Forget,9,0.07962962962962963,0.13196637244688558,0.0
Baseline (Dutch),Stylistic,Retain,14,0.23392857142857143,0.23648205795845006,0.225
Baseline (English),Computational,Forget,9,0.04779395694194815,0.03762198602154803,0.034718323169347844
Baseline (English),Computational,Retain,14,0.0766548288936056,0.04406318813607985,0.07592969742223661
Baseline (English),Content,Forget,9,0.21064814814814817,0.1489125965785067,0.25
Baseline (English),Content,Retain,14,0.2674107142857143,0.22036053515386259,0.31875
Baseline (English),Exceptions,Forget,9,0.21018518518518517,0.07806556381072527,0.24166666666666667
Baseline (English),Exceptions,Retain,14,0.2441964285714286,0.0970869048927215,0.22812500000000002
Baseline (English),Stylistic,Forget,9,0.175,0.16822191031821956,0.25
Baseline (English),Stylistic,Retain,14,0.29910714285714285,0.16205295651201712,0.26875
Finetuned (Dutch),Computational,Forget,11,0.96784422909296,0.08287094696867311,1.0
Finetuned (Dutch),Computational,Retain,12,0.9907407407407408,0.03207501495497925,1.0
Finetuned (Dutch),Content,Forget,11,0.9496212121212121,0.08441906350362033,1.0
Finetuned (Dutch),Content,Retain,12,0.9763888888888889,0.0382431966177265,1.0
Finetuned (Dutch),Exceptions,Forget,11,0.37083333333333335,0.13281147875424354,0.3375
Finetuned (Dutch),Exceptions,Retain,12,0.32743055555555556,0.10838370526670542,0.3020833333333333
Finetuned (Dutch),Stylistic,Forget,11,0.9666666666666667,0.06841458583924598,1.0
Finetuned (Dutch),Stylistic,Retain,12,0.9743055555555555,0.04401823734380125,1.0
Finetuned (English),Computational,Forget,9,1.0,0.0,1.0
Finetuned (English),Computational,Retain,13,1.0,0.0,1.0
Finetuned (English),Content,Forget,9,0.9891666666666666,0.019951112124390484,1.0
Finetuned (English),Content,Retain,13,0.971474358974359,0.044935851713645836,1.0
Finetuned (English),Exceptions,Forget,9,0.25305555555555553,0.07058658001191002,0.24
Finetuned (English),Exceptions,Retain,13,0.316025641025641,0.06247328488871323,0.325
Finetuned (English),Stylistic,Forget,9,1.0,0.0,1.0
Finetuned (English),Stylistic,Retain,13,0.9897435897435898,0.02849501380883701,1.0
